,,,,,,,,,
Label ,Author,Gallery,Acc. No.,TMS,Inst. Date,De-Install Date,Status,Filename,
Silicone Bust,D Richard,G351,75.72.1,2240,12/12/2012,12/26/2012,Deinstalled,13.12.11_Richard_BreastImplantEDIT,not tagged; no Newsflash
Google,Roma Rowlands,G341,2010.88,111219,12/19/2012,1/2/2013,Deinstalled,,
Anthill art,T Gihring,G311,87.4,3584,12/20/2012,1/5/2013,,13.12.20_Gihring_AnthillArtEDIT,
Frac Sand,J. Meyer,G303,2004.211,91556,6/26/2013,7/12/2013,Deinstalled,13-06-26_2004.211_FracSandEDIT,Repeats lead twice
Canoes,A Bortolot,G304,2004.236.112,95999,6/26/2013,7/12/2013,Deinstalled,Newsflash_Bortolot_Canoe6.26EDIT,
Trees Down,D Richard,G307,53.1,1233,6/26/2013,7/12/2013,Deinstalled,NewsFlash_Richard_Trees6.26,Uses template photo
Superman,T Gihring,G321,"55.11a,b ",1263,6/26/2013,7/12/2013,Deinstalled,NewsFlash_Tim_Superman_6.26,
Trees Down,T Rassieur,G321,98.34,5748,6/27/2013,7/12/2013,Deinstalled,NewsFlash_Rassieur_Trees.6.27EDIT,same as above (53.1)
Gandolfini,K Feldman,G322,2000.236,12936,6/27/2013,7/12/2013,Deinstalled,NewsFlash_Feldman_Gandolfini6.26.2EDIT,
Gay Marriage,K Feldman,G340,2010.10,108857,6/27/2013,7/12/2013,Deinstalled,NewsFlash_Feldman_Hadrian6.26EDIT,
Bodhi Tree,D Richard,G211,2001.153,6161,7/10/2013,7/19/2013,Deinstalled,NewsFlash_Richard_BodhiTemple7.10,
Arizona wildfires,A. Thompson Rundahl,G306,84.53,3296,7/9/2013,7/19/2013,Deinstalled,NewsFlash_ATR_ArizFire_7.9_EDIT,
ZIP,J Meyer,G306,64.63.2,1567,7/11/2013,7/19/2013,Deinstalled,NewsFlash_JMeyer_ZIPcodeEDIT,
3D Printing,A Bortolot,G324,70.48,1808,7/11/2013,7/19/2013,Deinstalled,Bortolot_Newsflash_Duck3D_7.11EDIT,
Utensils,J Naithani,G350,2010.9.1,109066,7/10/2013,7/19/2013,Deinstalled,NewsFlash_Naithani_UtensilsEDIT,
Da-da to Dada,A Bortolot,G376,96.21,5035,7/9/2013,7/19/2013,Deinstalled,,
Tigers,D Richard,G221,2012.1.1,45653,7/16/2013,8/2/2013,Deinstalled,NewsFlash_Richard_RussianTiger_7.15,not tagged; Newsflash doesn't open
Detroit bankruptcy,T. Gihring,G315,92.24,4428,7/19/2013,8/2/2013,Deinstalled,13-07-19_92.24_DetroitBankruptcyEDIT,
Spatial Thinking,D Richard,main lobby,83.77,3215,7/18/2013,8/2/2013,Deinstalled,NewsFlash_Richard_SpatialThink_EDIT,
Snail Facial,D Richard,G213,31.115,395,7/25/2013,8/9/2013,Deinstalled,NewsFlash_Richard_SnailFacialEDIT,
Honeymoon boon,D Richard,G302,23.42,263,7/24/2013,8/9/2013,Deinstalled,NewsFlash_Richard_HoneymoonBoonEDIT,
Cheating,T. Gihring,G308,62.7,1494,7/26/3013,8/9/2013,Deinstalled,,not tagged; no Newsflash
Death Cafes,C. Algeo,G359,2013.4,116020,7/24/2013,8/9/2013,Deinstalled,NewsFlash_Algeo_DeathCafeEDIT,
Asteroids,C. Atkins,Target Wing,2013.19,116191,7/26/2013,8/9/2013,Deinstalled,13-07-26_2013.19_AsteroidsEDIT,
Tar-Pitch Drop,C. Algeo,G204,2002.5,60550,8/2/2013,8/14/2013,Deinstalled,,not tagged; no Newsflash
Cream of wheat,T. Rassieur,G301,70.64,1822,7/31/2013,8/14/2013,Deinstalled,,
Baguettes face extinction,A. Bortolot,G355,93.2,10436,8/2/2013,8/14/2013,Deinstalled,13-08-01_93.2_BaguetteExtinctionEDIT,not tagged; no Newsflash
Meat Renaming,C. Algeo,G377,57.12,1325,8/2/2013,8/14/2013,Deinstalled,,
In Vitro Beef,D. Richard,G307,53.1,1233,8/7/2013,8/21/2013,Deinstalled,NewsFlash_Richard_LabBeefEDIT,
Got Milk?,A. Bortolot,G330,2012.12,113688,8/7/2013,8/21/2013,Deinstalled,Bortolot_Newsflash_Breastfding8.7,
Berry Weird Summer?,J. Meyer,G308,63.4,1523,8/8/2013,8/22/2013,Deinstalled,Meyer_NewsFlash_summerberryEDIT,
Monogamy,T. Gihring,G302,14.12,46,8/9/2013,8/23/2013,Deinstalled,13-08-09_14.12_MonogamyEDIT,
